# Downloaded from https://wordletools.azurewebsites.net/weightedbottles?SortOrder=ByWeight&submit=Submit

# List in alphabetical order 

Word 	Weight
GREAT 	58%
GREED 	58%
GREEN 	58%
GREET 	58%
GRIEF 	58%
GRILL 	58%
GRIME 	58%
GRIMY 	58%
GRIND 	58%
GRIPE 	58%
GRIST 	58%
GROAN 	58%
GROOM 	58%
GROPE 	58%
GROSS 	58%
GROUP 	58%
GROVE 	58%
GROWL 	58%
GROWN 	58%
GRUFF 	58%
GRUNT 	58%
GUARD 	58%
GUAVA 	58%
GUESS 	58%
GUEST 	58%
GUIDE 	58%
GUILD 	58%
GUILE 	58%
GUILT 	58%
GUISE 	58%
GULAG 	58%
GUMBO 	58%
GUMMY 	58%
GUSTO 	58%
GUSTY 	58%
GUTSY 	58%
HABIT 	58%
HAIKU 	58%
HAIRY 	58%
HALAL 	58%
HALVE 	58%
HANDY 	58%
HAPPY 	58%
HARDY 	58%
HAREM 	58%
HARSH 	58%
HASTE 	58%
HASTY 	58%
HATCH 	58%
HATER 	58%
HAUNT 	58%
HAUTE 	58%
HAVEN 	58%
HAVOC 	58%
HAZEL 	58%
HEADY 	58%
HEARD 	58%
HEART 	58%
HEATH 	58%
HEAVE 	58%
HEAVY 	58%
HEDGE 	58%
HEFTY 	58%
HEIST 	58%
HELLO 	58%
HENCE 	58%
HERON 	58%
HIJAB 	58%
HIKER 	58%
HILLY 	58%
HINGE 	58%
HIPPO 	58%
HITCH 	58%
HOARD 	58%
HOARY 	58%
HOBBY 	58%
HOIST 	58%
HOKEY 	58%
HOMER 	58%
HOMEY 	58%
HONEY 	58%
HONOR 	58%
HOOKY 	58%
HORDE 	58%
HORSE 	58%
HOTEL 	58%
HOTLY 	58%
HOUND 	58%
HOUSE 	58%
HOVER 	58%
HUMAN 	58%
HUMID 	58%
HUMOR 	58%
HUNCH 	58%
HUNKY 	58%
HURRY 	58%
HUSKY 	58%
HYENA 	58%
HYPER 	58%
ICING 	58%
IDEAL 	58%
IDIOM 	58%
IDIOT 	58%
IDYLL 	58%
IMAGE 	58%
IMBUE 	58%
IMPLY 	58%
INANE 	58%
INBOX 	58%
INCUR 	58%
INDEX 	58%
INDIE 	58%
INEPT 	58%
INERT 	58%
INFER 	58%
INLET 	58%
INNER 	58%
INPUT 	58%
INSET 	58%
INTEL 	58%
INTRO 	58%
IRATE 	58%
IRONY 	58%
ISSUE 	58%
ITCHY 	58%
IVORY 	58%
JADED 	58%
JAUNT 	58%
JAZZY 	58%
JELLY 	58%
JERKY 	58%
JEWEL 	58%
JIFFY 	58%
JOINT 	58%
JOKER 	58%
JOKEY 	58%
JOLLY 	58%
JUDGE 	58%
JUICE 	58%
JUICY 	58%
JUMBO 	58%
JUMPY 	58%
JUNTA 	58%
JUROR 	58%
KARMA 	58%
KAYAK 	58%
KEBAB 	58%
KHAKI 	58%
KINDA 	58%
KINKY 	58%
KIOSK 	58%
KITTY 	58%
KNACK 	58%
KNEAD 	58%
KNEEL 	58%
KNELL 	58%
KNELT 	58%
KNIFE 	58%
KNOCK 	58%
KNOLL 	58%
KNOWN 	58%
KOALA 	58%
KOOKY 	58%
KUDOS 	58%
LABEL 	58%
LABOR 	58%
LADEN 	58%
LADLE 	58%
LAGER 	58%
LAITY 	58%
LANCE 	58%
LANKY 	58%
LAPEL 	58%
LAPSE 	58%
LARGE 	58%
LASER 	58%
LASSO 	58%
LATCH 	58%
LATER 	58%
LATEX 	58%
LATTE 	58%
LAUGH 	58%
LAYER 	58%
LAYUP 	58%
LEAFY 	58%
LEAKY 	58%
LEAPT 	58%
LEARN 	58%
LEASE 	58%
LEASH 	58%
LEAST 	58%
LEAVE 	58%
LEDGE 	58%
LEERY 	58%
LEFTY 	58%
LEGAL 	58%
LEGGY 	58%
LEGIT 	58%
LEMON 	58%
LEVEE 	58%
LEVEL 	58%
LEVER 	58%
LIBEL 	58%
LIFER 	58%
LIGHT 	58%
LIKEN 	58%
LILAC 	58%
LIMBO 	58%
LIMIT 	58%
LINEN 	58%
LINER 	58%
LINGO 	58%
LITHE 	58%
LIVEN 	58%
LIVER 	58%
LIVID 	58%
LLAMA 	58%
LOATH 	58%
LOBBY 	58%
LOCAL 	58%
LOCUS 	58%
LODGE 	58%
LOFTY 	58%
LOGIC 	58%
LOGIN 	58%
LONER 	58%
LOONY 	58%
LOOPY 	58%
LOOSE 	58%
LOSER 	58%
LOTUS 	58%
LOUSY 	58%
LOVER 	58%
LOWER 	58%
LOWLY 	58%
LOYAL 	58%
LUCID 	58%
LUCKY 	58%
LUMPY 	58%
LUNAR 	58%
LUNCH 	58%
LUNGE 	58%
LUPUS 	58%
LURCH 	58%
LURID 	58%
LUSTY 	58%
LYING 	58%
LYMPH 	58%
LYRIC 	58%
MACHO 	58%
MACRO 	58%
MADAM 	58%
MADLY 	58%
MAFIA 	58%
MAGIC 	58%
MAIZE 	58%
MAJOR 	58%
MAKER 	58%
MAMBO 	58%
MANGA 	58%
MANGO 	58%
MANIA 	58%
MANIC 	58%
MANLY 	58%
MANOR 	58%
MAPLE 	58%
MARCH 	58%
MARRY 	58%
MARSH 	58%
MASON 	58%
MASSE 	58%
MATCH 	58%
MATTE 	58%
MATZO 	58%
MAUVE 	58%
MAVEN 	58%
MAXIM 	58%
MAYBE 	58%
MAYOR 	58%
MEANT 	58%
MEATY 	58%
MECCA 	58%
MEDAL 	58%
MEDIA 	58%
MEDIC 	58%
MELEE 	58%
MELON 	58%
MERCY 	58%
MERGE 	58%
MERIT 	58%
MERRY 	58%
MESSY 	58%
METAL 	58%
METER 	58%
METRO 	58%
MEZZO 	58%
MICRO 	58%
MIDST 	58%
MIGHT 	58%
MILKY 	58%
MIMIC 	58%
MINCE 	58%
MINER 	58%
MINOR 	58%
MINTY 	58%
MINUS 	58%
MIRTH 	58%
MISTY 	58%
MIXER 	58%
